"","z","y","y.0","y.1","mu.0","mu.1","e"
"1",0,-0.937237135527828,-0.937237135527828,4.74455249734915,0.347980990112376,5.13607646100466,0.440969098537531
"2",0,-2.05067845400092,-2.05067845400092,1.51701753981626,-3.05210863975536,1.36869548151128,0.368526999120457
"3",1,-3.52131479805937,-1.55848452750522,-3.52131479805937,-1.99854289414314,-5.08186741843046,0.359723248512772
"4",0,-3.28070677686556,-3.28070677686556,1.34773606588574,-3.49101276083745,1.77413380692359,1.43121681601668e-10
"5",1,-1.00155909092984,5.13319767145302,-1.00155909092984,5.80666492744116,-0.701430124964626,0.500495090770278
"6",0,4.51335771065389,4.51335771065389,10.1604393101049,6.39924122622337,8.73084866823984,0.502454743758326
"7",0,4.93765472987719,4.93765472987719,7.48973624711744,4.34006261890889,7.96974336450581,0.499143090924145
"8",0,-4.35625787556417,-4.35625787556417,0.0267302423094438,-5.79960788637805,-0.13416797015314,0.225468114056262
"9",0,3.92753510688529,3.92753510688529,5.089078155564,4.13443896454421,7.04573137892647,0.464209448045793
"10",0,-7.71540042072907,-7.71540042072907,0.518917542715327,-6.29095519939295,0.518138635671964,0.310900480056669
"11",1,7.30256687513952,0.864691785614169,7.30256687513952,1.80361353240183,6.47880359976292,0.467768028985104
"12",0,-3.93131365669285,-3.93131365669285,3.15180769793356,-3.15819646121363,2.58689899691249,0.361083955563819
"13",1,-3.73870888502915,0.635829652982723,-3.73870888502915,-0.352800537791885,-3.79156475366099,0.374197489355621
"14",0,1.69506985729994,1.69506985729994,5.70546643377543,1.29512977007716,5.92094324897774,1.6750145438184e-10
"15",1,6.87769407361765,2.55438107078473,6.87769407361765,2.78609922735905,6.26161174505007,0.388782909268372
"16",0,-1.72762171366468,-1.72762171366468,1.94293840288801,-3.12413903477765,2.61729353704094,0.298253101297763
"17",0,1.00721169953088,1.00721169953088,6.52015469795517,2.31392442232286,6.09319825519433,0.359932904419714
"18",0,-0.457846909697583,-0.457846909697583,5.97479251654779,1.26586497777886,4.89663855234885,1.99402104753306e-10
"19",0,6.01369050387972,6.01369050387972,0.106699973042566,6.85678525575864,1.70904203099983,0.446921115578636
"20",1,7.91877355146159,3.89457216087594,7.91877355146159,2.35867508942491,6.8745076808362,0.367041597953484
"21",0,-0.0159940266821367,-0.0159940266821367,5.80664323342719,0.434423646994991,5.22597502268103,0.374699452547342
"22",0,-5.32860092739755,-5.32860092739755,1.89586427956727,-4.44512972216908,1.11676267263494,7.88239455487074e-11
"23",1,-7.40360127640409,-8.60080013518689,-7.40360127640409,-7.0078510442051,-7.22233230727025,0.316035446574992
"24",0,-4.76209088728233,-4.76209088728233,-6.87329380338566,-4.67485220490792,-7.08236869629141,0.282012595541392
"25",0,0.961894270286977,0.961894270286977,6.41779621592955,0.190118967823097,6.84018671166627,0.459783933527728
"26",1,5.82549929542708,1.72360169999633,5.82549929542708,3.24801086885733,7.25367625763197,0.442674519576752
