"","z","y","y.0","y.1","mu.0","mu.1","e"
"1",1,-2.7835198852264,-2.43446107221046,-2.7835198852264,-2.47549324543906,-3.61597590654348,0.334063230711853
"2",0,-5.11225376167074,-5.11225376167074,1.57438244706019,-5.97987595426914,0.535096948922019,0.281446464464951
"3",0,-1.91018863717188,-1.91018863717188,-1.80524635717261,-3.32016639435343,-2.38367389078851,0.308815206707044
"4",0,-8.62401053548123,-8.62401053548123,-2.27991909691242,-8.42641488824008,-2.89518037707887,0.307796984542364
"5",0,-4.0497923362185,-4.0497923362185,5.36928617408614,-5.30117210149902,5.49617813446565,0.312033403333358
"6",0,-1.53933130514829,-1.53933130514829,10.0201996198427,-3.10125985891186,9.86329113538689,0.321482326479546
"7",0,-11.7666569584111,-11.7666569584111,-3.46604772015429,-11.33721863596,-3.54094588584949,0.332675128452961
"8",0,-1.65770738002342,-1.65770738002342,-1.35527405271021,-3.10148770542361,-0.983877263949126,0.298553556240818
"9",1,-4.09290882402962,-7.42341117537248,-4.09290882402962,-7.637713698989,-4.15843671238607,0.23672649153577
"10",1,-5.01529266581922,-0.0315283074103805,-5.01529266581922,0.287867191763849,-4.74593866684911,0.385021044488229
"11",0,-3.84090726757743,-3.84090726757743,-2.02668278279937,-2.9635603621609,-2.53266028374238,0.315849772364831
"12",0,-3.10742221616236,-3.10742221616236,-1.92916861265091,-4.45300525244058,-2.99401649095562,0.308310781433887
"13",1,-5.24350567336035,-22.4906375026185,-5.24350567336035,-22.4263844042006,-6.53704778254582,0.248872342204636
"14",0,-22.3815488084045,-22.3815488084045,-5.03478250021929,-20.8375150219222,-3.95554803618864,0.245492542172834
"15",1,42.6308925603482,16.9498887618002,42.6308925603482,15.3383985535808,42.0694491295021,0.48011395991054
"16",0,-6.80246337075615,-6.80246337075615,-3.0403059356899,-5.42652065069994,-3.13548731148102,0.307084876993419
"17",0,-7.28927906853799,-7.28927906853799,2.52761956257387,-6.28162140399438,2.22298719280543,0.309159193810052
"18",0,-12.8290082586878,-12.8290082586878,4.97853905759196,-13.626609898461,5.35563165329795,0.30852554305142
"19",0,-15.6390690219734,-15.6390690219734,-0.515040803907763,-15.7936984160778,-1.44766965326024,0.292722251561808
"20",0,-2.25450146255725,-2.25450146255725,-2.7807789594936,-2.31373497855347,-2.77684384586109,0.312581403731709
"21",1,-3.99817716182549,-3.16587595088307,-3.99817716182549,-3.06035081280608,-4.12157087898178,0.331287956000638
"22",0,-12.2089041295114,-12.2089041295114,-6.22973142617698,-12.0088658275917,-6.90102386103704,0.279509026822562
"23",0,-6.65131121368783,-6.65131121368783,-2.32324182840846,-7.35100325159002,-3.20133342943799,0.301503284779736
"24",0,-4.96841657740939,-4.96841657740939,-2.42434251452027,-3.73908212652931,-3.93513814004515,0.327106881529332
"25",0,-13.012425211845,-13.012425211845,-4.59352254264495,-13.0238953580054,-4.32810478450905,0.240923926497584
"26",1,-2.20658217765804,-14.7690022581636,-2.20658217765804,-14.0657264520635,-2.25575768215456,0.334733561047933
"27",1,-4.37002394853997,-15.0740701891432,-4.37002394853997,-14.6746827230433,-3.52620480482528,0.31707696886758
"28",1,-3.44607380122495,-6.00264901827243,-3.44607380122495,-6.84765855543828,-2.83250356257015,0.317582209471068
"29",0,-15.7896673109415,-15.7896673109415,-1.32936968806503,-15.7545825396084,-1.66157752301223,0.288101651877689
"30",0,-5.2346544713824,-5.2346544713824,-2.27030692359362,-4.89180654629611,-3.66813641504704,0.326873389744988
"31",0,-7.65223186788707,-7.65223186788707,-1.42594143349829,-7.60512626014692,-0.27514638883882,0.314135728336913
"32",1,-5.25729165190407,-6.11614659960121,-5.25729165190407,-5.1694855916256,-4.25295150871328,0.319963802277798
"33",0,-17.2255543671168,-17.2255543671168,-0.223646869394431,-18.2106100288008,-2.00016934116619,0.330797775828843
"34",0,-7.6658844093567,-7.6658844093567,0.193739724498504,-6.03234725604714,-0.914077296359973,0.303415748590639
"35",0,-10.2368693910089,-10.2368693910089,-3.23797782280443,-7.77022971611325,-3.1559138731568,0.319462053357969
"36",0,-6.57335415323773,-6.57335415323773,-0.0992357573511102,-5.28348810962166,-0.764063353144875,0.316356643145129
"37",1,-1.98192369249797,-7.73371708394697,-1.98192369249797,-9.3640053747839,-0.889698948333873,0.300582906900254
